id,fecha,cantidad,tipoTrans,cuentaOrigen,cuentaDestino,dateCreated,lastUpdated
879854,2019-06-08,422269.3931633706,Dn6EPv,G4UADKNzXrS9hDUSRX5ruWKfesCBQOsCPVJ0p9KcAGPPiAlUYVVNxQoR5ma2RthbtnyAvTjVWgBpnJHs3iCkKUFsetIijSoeSiDdeySfZ0Tu2k,FM59iFUaaMpOl2z0CPWrGEStJhj1uIeuRrkcQG2zfRChsGOLLav8M7eUmvP0lstvoSk7xQHRkDUwNB0e7v0GFpbkDrcW5hBvJ,2022-04-11 12:27:42.408542,2022-02-05 17:31:04.385698
931428,2021-05-02,784173.3042205839,HGp99vfI,9ruSuN5OnmZMC26YhweL604F4c218fe7d5zAyA41EL9arWRWeEDjSyHMkUQfHBJQYZonjvlgve0uBdO7hDfrfSNirAMxcwahjb4DG1QGVdzT,eIdCUc3VWK5ZIVBixMmutALJCEwLx7zconI1Ne9s,2019-11-18 16:08:49.639362,2023-10-15 21:22:08.887563
90145,2019-07-11,523154.1903465938,ZvvyxdBwKZ,PaX64QBDsCIqcf4vLqC5UCgav7H2zeyMCqgf3TMBq813tFfku122r3sE7N2YLS9LP6Wz4zh7ZX2xt7mW7JG7GAd7eVtHVbtLW79Ug5Ap03PshC21TPP0SXFod5CR7ho0akf0crnxxccxS02kvnlN0kvWgnNlDJVQQf2hTpIRUmYgiMNGTecw,ybCSv13ACmR5eQj5sSTpjsEb8Sb7volx0MeadAqEx5FRbz5yq9Quqd93YTzvsie4UPgIQzBsepjXzEJfgATL7pZST3hSkMfwHrgU2JmemYwsHfSJVHLIYfWmGguzBRcBWbe7eTQb2RasVSkK6OzhSBM2ShIEQc0y0JcXZK7n8IJdMpC,2019-10-16 21:19:49.153422,2023-08-07 03:16:18.018235
534426,2023-06-18,872636.7023008977,D3IyZ8,2qUcbq3qge5k8bwwbGU6jmBheoebrhsnP7R9OmVPPndci1krN073E2c8tsrshtTyLvPaGSmMjwzJykX8GMObFmOK64BxpZVx5FBwC78QCzDogdcmFw711mE5lAidFMCh2EZlAPhQAch7d0fZJUohVGFKyPt9X4wJbCriT1VfxwUD3jHRvfFKoSfFGCvroBjznZg2nTuHQ0Yz4tCjXIRAfo0smkUscQ9vLAEGiiDWwZ7Z58mi,7fSkT,2021-11-16 15:41:59.285494,2021-03-13 06:36:38.784454
203769,2020-09-05,439637.76849738584,VwHX0tQ6,mLfelwpFQj84o04b7qoTxK9lYZyfevPwSHl8jK8Woao4IvKK0E3b6fsBB9r,JbbQSv5Q6KBvZ04VzsakEI8sdjxt7hP50E9JrJMViTZNj4kS5Z1AvKzV18v7plGd0MhpgwfgD3g5jskOhBopwl3hrCJKpd1g3wG5XD2Ao1XMbytGj7DsgMiZDsDyQcNpl8Rx,2023-02-22 19:52:25.659836,2023-01-18 09:52:06.781934
296635,2020-03-01,970397.4158346638,rHEdA3L,ihZuDwvt19zfT48uVE0EFrW4CTsJb2XwLyng8TgDroyAuVSF13ieFq0C31iE2zWOjlRcpaZDhR2fcpE5DBeKAxLQ6dNxcCQl8Csj0i1f7GDqfOP0XiyIElRd0d1jiQjPpH2FOSwrENLfCiw2a2L7SDDII98avw9LWWMVh4VUZ6nrpa4d33L2OGSYz8s,viXKmaZjl7mqSlvH4sNOQMUAzLfLPGzDHlcrFW328BNEMW07jc3JQSoziXns9NHKZoGZvsXOudSLrsJtpzUT5iZV5Or5NcvWEIQFQRzx3AQUuDG3meg6lko6D17DC37l6yc18rOTC8PDHch0eIzyZFmhL4rOiC7D9kKJptkBgaI0Ph38I3s,2023-11-29 10:18:57.437624,2022-08-01 15:09:11.478869
867120,2019-12-13,125668.90958951694,mMd0,RFLgZwAswV72a0Ohz23QP9kUKV3tzy8iIOHpFClWhBIvE2bhsR02lRVCj6n3Iemk0sSa0vc8CePQKumAdkknOU26c3HCuNyHiRGZ,xsQArNKCnoRJfNUNfQweaNvBQ3SUHMmNK9O0aoSwz3hTKGmteWfVWDYtV1VaOFyk8K5uFeijRkGQ57tJWEBRFgAiw5Zt5Z042m6Gdvmk7DkE83xByu2Ci,2023-01-05 19:31:49.194735,2023-02-14 02:09:10.200383
822188,2019-01-07,605940.9041589276,F2j8iJ3lg,IxIUwif6zwE,43n2Sfyb1DrDpH8z6frwQSA82dET21q23PvxcOx96Ji9cBLfxCU6IJnUTKojbP7C27zTuL54wojJWrM5TkTUUkFQG4QT3vtnnDOwvkhgJ6Z5nwBc,2022-01-12 14:43:14.797156,2020-04-16 07:43:53.850733
546217,2020-05-19,431536.54497479316,rciLZsr,gDMJdLVjswRVulrGqPgOgOgCASl8MP9uep9vHuPnoYaSccNGUTmwBpiS3jzVXA3AZ9yWrK107qE3KVtpRBQCztZlRoMfSE7CXwkXvuW5E03NcAxbQnvx3iNSwzjd0fCi3RDfED03YMuayHaMjZh7Waif0PVZpGcZ8c81cKOzCZyoAG2zXPpoR3k9fL5,5SWZOFCfYW7uv02I5yxUmqJqtcApH9B8xLFbwEVgDj887M0Gi16wfNuuoo9lZubIWU1xYQ4NfheCZCzfxttzGz6Egghyr1KPVzgHB8DxzW2w5e3H5AwtxuCc22lFyW1kZr9ElVFQLRVzv69S9gscqBnsESfMflHCx31N0DoD9Hu6e7rEmGYft4891g9Gw,2019-03-30 08:05:39.293789,2023-05-29 17:28:45.176535
255441,2020-02-06,690419.6475710756,7G0SBZ,A8q7jq8efnOOzpx7D4hlHNQ2gpy67pmhDm3X0BJ1rOoGe56uL1flClLpkO4y3apRqZtA0crhU2L,BjuHv2hre0ETLHb8Sqa0QyGsJrAOTtsP7K6p4CmiTjyAwMUSq2MUGAE6lrNHnPy87uWTaAj2C1XmWqEpqpYyAJu5,2019-07-11 13:40:11.647820,2021-04-19 15:59:38.195981
